asset_id,asset_name,company,company_cn,phase,indications,targets,mechanism,country,data_quality,data_sources,clinical_trial_id,next_milestone,estimated_timeline,source_url,notes,location,funding,priority,therapeutic_area,generic_name,status,rationale,expected_launch
CN-HR-001,SHR-1314 (夫那奇珠单抗/Vunakizumab),恒瑞医药,,Approved,中重度斑块型银屑病 | 强直性脊柱炎,IL-17A,N/A,China,0.94,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=SHR-1314"", ""company"": ""https://www.hengrui.com""}",,,,,,连云港,上市公司,P0,,,,,
CN-HR-002,SHR-1701,恒瑞医药,,Phase 3,晚期胃癌 | 胃食管结合部癌 | 实体瘤,PD-L1/TGF-β (双抗),N/A,China,0.89,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=SHR-1701"", ""company"": ""https://www.hengrui.com""}",,,,,,连云港,上市公司,P0,,,,,
CN-HR-003,SHR-1905,恒瑞医药,,Phase 2,哮喘 | 慢性鼻窦炎伴鼻息肉,TSLP,N/A,China,0.87,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=SHR-1905"", ""company"": ""https://www.hengrui.com""}",,,,,,连云港,上市公司,P1,,,,,
CN-HR-004,SHR-2002,恒瑞医药,,Phase 1,实体瘤,PVRIG-TIGIT,N/A,China,0.79,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=SHR-2002"", ""company"": ""https://www.hengrui.com""}",,,,,,连云港,上市公司,P1,,,,,
CN-HR-005,SHR-A1811,恒瑞医药,,Phase 3,HER2阳性乳腺癌 | HER2低表达乳腺癌 | 胃癌 | NSCLC | 结直肠癌 | 胆道癌,HER2 ADC,N/A,China,0.91,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=SHR-A1811"", ""company"": ""https://www.hengrui.com""}",,,,,,连云港,上市公司,P0,,,,,
CN-HR-006,SHR-A1921,恒瑞医药,,Phase 3,卵巢癌 | 三阴性乳腺癌 | NSCLC,TROP2 ADC,N/A,China,0.87,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=SHR-A1921"", ""company"": ""https://www.hengrui.com""}",,,,,,连云港,上市公司,P1,,,,,
CN-HR-007,SHR-1209 (瑞卡西单抗),恒瑞医药,,Approved,高胆固醇血症,PCSK9,N/A,China,0.84,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=SHR-1209"", ""company"": ""https://www.hengrui.com""}",,,,,,连云港,上市公司,P1,,,,,
CN-HR-008,SHR-1819,恒瑞医药,,Phase 3,特应性皮炎,IL-4Rα,N/A,China,0.81,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=SHR-1819"", ""company"": ""https://www.hengrui.com""}",,,,,,连云港,上市公司,P1,,,,,
CN-XD-001,IBI311 (替妥尤单抗N01/信必敏),信达生物,,Approved (2025),甲状腺眼病(TED),IGF-1R,N/A,China,0.93,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=IBI311"", ""company"": ""https://www.innoventbio.com""}",,,,,,苏州,上市公司,P0,,,,,
CN-XD-002,IBI353,信达生物,,Phase 2,SLE | IgA肾病 | 狼疮性肾炎,PDE4,N/A,China,0.81,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=IBI353"", ""company"": ""https://www.innoventbio.com""}",,,,,,苏州,上市公司,P1,,,,,
